fecha,departamento,municipio,evento,codificacionsegundivipola,muertos,heridos,desapa,personas,familias,viviendasdestru,viviendasaver,vias,ptesvehic,ptepeat,acued,alcant,csalud,ceducat,ccomunit,hectareas,otros,subsidiodearriendo,fechatramiteadtivo,menajes,apaliment,materialesconst,sacos,otros1,transeconomicas,recejecutados
03/03/2013 12:00:00 AM,CHOCO,RIO QUITO,INUNDACION,,,,,"1,517",313,,313,,,,,,,,,,,0,,0,0,0,0,,0,0
10/01/2012 12:00:00 AM,QUINDIO,QUIMBAYA,INCENDIO FORESTAL,63594,,,,,,,,,,,,,,,,0.5,,,,0,0,0,0,,0,0
02/01/2010 12:00:00 AM,CUNDINAMARCA,TIBACUY,SEQUIA,25805,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0
10/03/2000 12:00:00 AM,CALDAS,PALESTINA,INUNDACION,17524,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0
06/04/2010 12:00:00 AM,MAGDALENA,ZONA BANANERA,INUNDACION,47980,,,,860,172,,172,,,,,,,,,,,,40344,"7,199,888",0,"34,516,800","9,001,600",,0,"50,718,288"
01/05/2013 12:00:00 AM,RISARALDA,LA VIRGINIA,INCENDIO FORESTAL,66400,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0
04/18/2000 12:00:00 AM,AMAZONAS,PUERTO ARICA,INUNDACION,91536,,,,"1,250",250,,,,,,,,,,,,,,,0,0,0,0,,,0
10/08/2013 12:00:00 AM,CESAR,EL COPEY,INCENDIO ESTRUCTURAL,20238,,,,5,1,,1,,,,,,,,,,,0,,0,0,0,0,,0,0
10/19/2011 12:00:00 AM,HUILA,COLOMBIA,INUNDACION,41206,,,,5,1,1,,,,,,,,,,,,,,0,0,0,0,,0,0
04/28/2009 12:00:00 AM,RISARALDA,PEREIRA,VENDAVAL,66001,,,,156,32,,31,,,,,,,,,,,,,0,0,0,0,,,0
08/17/2007 12:00:00 AM,GUAVIARE,SAN JOSE DEL GUAVIARE,INUNDACION,,,,,35,9,,,,,,,,,,,,,,,0,0,0,0,,,0
04/16/2012 12:00:00 AM,CUNDINAMARCA,SOACHA,INUNDACION,25754,,,,560,140,,140,1,,,,,,,,,,,,0,0,0,0,,0,0
03/20/2009 12:00:00 AM,RISARALDA,DOSQUEBRADAS,INCENDIO ESTRUCTURAL,66170,,,,,,,,,,,,,,,2,,,,,0,0,0,0,,,0
03/26/2010 12:00:00 AM,ANTIOQUIA,SEGOVIA,EXPLOSION,05736,,34,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0
05/06/1998 12:00:00 AM,SANTANDER,PUERTO WILCHES,INUNDACION,68575,,,,,,,,,,,,,,,,,,,,,,,,,,0
04/17/2011 12:00:00 AM,TOLIMA,AMBALEMA,INUNDACION,73030,,,,"1,935",387,7,380,,,,,,,,,,,,,0,0,0,0,,0,0
10/12/2013 12:00:00 AM,RISARALDA,SANTA ROSA DE CABAL,VENDAVAL,66682,,,,260,52,,52,,,,,,,,,,,0,,0,0,0,0,,0,0
03/08/2011 12:00:00 AM,HUILA,HOBO,VENDAVAL,41349,,,,10,2,,2,,,,,,,,,,,,,0,0,0,0,,0,0
07/02/2012 12:00:00 AM,HUILA,PALERMO,INCENDIO FORESTAL,41524,,,,,,,,,,,,,,,,1,,,,0,0,0,0,,0,0
08/31/2009 12:00:00 AM,SUCRE,OVEJAS,VENDAVAL,70508,,,,515,103,4,99,,,,,,,,,,,,40106,0,0,"34,600,000",0,"41,750,000",,"76,350,000"
05/01/1999 12:00:00 AM,ANTIOQUIA,URRAO,AVALANCHA,05847,4,,,,,1,,,,,,,,,,,,,,,,,,,,0
01/13/2013 12:00:00 AM,TOLIMA,PURIFICACION,DERRAME,,,,,,,,,,,,,,,,,,1,0,,0,0,0,0,,0,0
05/23/2013 12:00:00 AM,HUILA,NEIVA,DESLIZAMIENTO,41001,,,,15,3,,3,,,,,,,,,,,0,,0,0,0,0,,0,0
04/01/2010 12:00:00 AM,TOLIMA,PLANADAS,VENDAVAL,73555,,,,400,73,,73,,,,,,,,,,,,40295,"11,241,924.08",0,"9,987,600",0,,0,"21,229,524.08"
04/21/2011 12:00:00 AM,VALLE DEL CAUCA,BUGALAGRANDE,INUNDACION,76113,,,,240,48,,48,,,,,,,,,,,,,0,0,"26,433,600",0,"9,064,836",0,"35,498,436"
10/26/2005 12:00:00 AM,ANTIOQUIA,CAUCASIA,INUNDACION,05154,,,,"2,250",450,,,,,,,,,,,,,,,0,0,0,0,,,0
04/08/2011 12:00:00 AM,ANTIOQUIA,VENECIA,INUNDACION,05861,,,,750,150,,150,,,,,,,,,,,,,0,0,0,0,,0,0
12/31/2011 12:00:00 AM,CESAR,BOSCONIA,INUNDACION,20060,,,,,,,,,1,,,,,,,,,,,0,0,0,0,"208,755,008",0,"208,755,008"
01/06/2013 12:00:00 AM,ANTIOQUIA,BETANIA,INCENDIO FORESTAL,05091,,,,,,,,,,,,,,,,40,,0,,0,0,0,0,,0,0
02/16/2013 12:00:00 AM,BOYACA,PESCA,COLAPSO,,1,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0
07/07/1998 12:00:00 AM,META,CABUYARO,INUNDACION,50124,,,,240,48,,48,,,,,,,,,,PERDIDA DE CULTIVOS,,,"4,680,810.6","1,380,000",,,,,"6,060,810.6"
03/22/2012 12:00:00 AM,HUILA,ISNOS,INUNDACION,41359,,,,,,,,9,,,,,,,,,,,,0,0,0,0,,0,0
10/14/2011 12:00:00 AM,CAUCA,MIRANDA,INUNDACION,19455,1,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0
06/17/2002 12:00:00 AM,CUNDINAMARCA,UBAQUE,DESLIZAMIENTO,25841,,,,92,27,,27,,,,,,,,,,,,37428,"1,309,500","1,593,000",0,0,,,"2,902,500"
05/20/2013 12:00:00 AM,ANTIOQUIA,PUERTO BERRIO,INUNDACION,,,,,50,10,3,7,,,,,,,,,,,0,,0,0,0,0,,0,0
12/08/2011 12:00:00 AM,HUILA,PITALITO,DESLIZAMIENTO,41551,,,,,,,,1,,,,,,,,,,,,0,0,0,0,,0,0
04/30/2013 12:00:00 AM,ANTIOQUIA,BELLO,INUNDACION,05088,,,,15,3,,3,,,,,,,,,,,0,,0,0,0,0,,0,0
10/18/2011 12:00:00 AM,HUILA,ALGECIRAS,DESLIZAMIENTO,41020,,,,,,,,1,,,,,,,,,,,,0,0,0,0,,0,0
11/26/2011 12:00:00 AM,ANTIOQUIA,BELLO,INUNDACION,05088,,,,90,18,18,,,,,,,,,,,,,,0,0,0,0,,0,0
11/30/2003 12:00:00 AM,SANTANDER,RIONEGRO,INUNDACION,68615,,,,275,55,,,,,,,,,,,,,,37964,0,"775,000",0,0,,,"775,000"
