,fecha,autoridad_ambiental,nombre_de_la_estaci_n,tecnolog_a,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,concentraci_n,geocoded_column
55,12/11/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,13.2,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
56,13/11/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,18.2,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
57,14/11/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,15.2,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
58,15/11/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,15,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
59,16/11/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,14.1,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
60,17/11/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,15.1,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
61,18/11/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,15.2,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
62,19/11/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,14.6,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
63,20/11/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,15,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
64,21/11/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,15.2,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
65,22/11/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,15.6,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
66,23/11/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,15,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
67,24/11/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,15.2,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
68,25/11/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,15.2,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
69,26/11/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,15,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
70,27/11/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,14.7,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
71,28/11/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,15.3,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
72,01/12/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,12,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
